選択,基準日,方向,銘柄,エントリー時刻,クローズ時刻,保有時間,開始時,跨ぎフラグ,勝率_30日,勝率_90日,勝率_365日,勝率_平均,勝率重視ポイント,利益効率ポイント,時間効率ポイント,最大利益ポイント,勝率重視ポイントUS,利益効率ポイントUS,時間効率ポイントUS,最大利益ポイントUS,合計変動pips_30日,合計変動pips_90日,合計変動pips_365日,合計変動pips_平均,利益効率σ_30日,利益効率σ_90日,利益効率σ_365日,利益効率σ_平均,勝率重視スコア,利益効率スコア,時間効率スコア,最大利益スコア,変動値σ_pips_30日,変動値σ_pips_90日,変動値σ_pips_365日,変動値σ_pips_平均,平均スプレッドpips_30日,平均スプレッドpips_90日,平均スプレッドpips_365日,平均スプレッドpips_平均
FALSE,2025-07-20,Long,EURUSD,2:01:00,2:08:00,7,2,0,90.91%,55.38%,48.26%,64.85%,,,,,,,,,56.0,30.6,-54.8,10.6,3.77,0.94,-0.84,1.29,86.7,28.07,27.95,25.46,3.17,3.93,4.10,3.73,0.3,0.3,0.3,0.3
FALSE,2025-07-20,Long,GBPJPY,12:09:00,12:39:00,30,12,0,90.48%,60.00%,48.26%,66.25%,,,,,,,,,121.9,131.4,-319.4,-22.0,4.06,1.40,-1.40,1.35,88.56,29.52,9.09,35.5,6.55,11.53,14.23,10.77,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,GBPJPY,12:24:00,12:39:00,15,12,0,90.48%,61.54%,49.42%,67.15%,,,,,,,,,70.8,14.7,-387.0,-100.5,3.80,0.23,-2.46,0.52,89.77,11.38,5.65,11.03,4.05,7.65,9.76,7.15,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,EURJPY,12:24:00,12:39:00,15,12,0,90.48%,61.54%,47.88%,66.63%,,,,,,,,,68.3,17.7,-248.7,-54.2,3.43,0.30,-1.99,0.58,89.08,12.6,7.9,15.43,4.33,6.34,7.87,6.18,0.4,0.4,0.4,0.4
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:43:00,18,12,0,90.48%,66.15%,55.21%,70.61%,,,,,,,,,104.9,95.6,19.8,73.4,4.25,1.44,0.12,1.94,94.4,42.25,20.55,48.14,5.36,8.22,11.14,8.24,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:25:00,12:48:00,23,12,0,90.48%,61.54%,57.14%,69.72%,,,,,,,,,103.2,87.1,18.4,69.6,3.88,1.22,0.11,1.74,93.21,37.9,15.53,46.48,5.82,8.85,11.68,8.78,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,GBPJPY,12:25:00,12:42:00,17,12,0,90.48%,60.00%,47.88%,66.12%,,,,,,,,,83.7,33.8,-417.1,-99.9,3.39,0.51,-2.14,0.59,88.39,12.77,6.89,15.25,5.38,7.88,12.16,8.47,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,GBPJPY,12:25:00,12:45:00,20,12,0,90.48%,58.46%,49.03%,65.99%,,,,,,,,,93.4,63.6,-333.8,-58.9,3.49,0.90,-1.58,0.94,88.22,20.45,8.51,22.14,5.83,8.60,13.11,9.18,0.9,0.9,1.0,0.9
FALSE,2025-07-20,Long,USDJPY,12:32:00,12:40:00,8,12,0,90.48%,60.00%,50.58%,67.02%,,,,,,,,,66.1,85.2,26.0,59.1,4.18,1.68,0.24,2.03,89.6,44.31,32.22,33.54,3.44,6.30,6.88,5.54,0.2,0.2,0.2,0.2
FALSE,2025-07-20,Long,USDJPY,12:34:00,12:49:00,15,12,0,90.48%,66.15%,55.98%,70.87%,,,,,,,,,50.0,62.7,56.3,56.3,2.47,1.04,0.45,1.32,94.75,28.81,13.41,26.18,4.44,7.43,8.42,6.76,0.2,0.2,0.2,0.2
