方向,銘柄,エントリー時刻,クローズ時刻,勝率_30日,合計変動pips_30日
Short,CHFJPY,1:08:00,1:15:00,86.36%,48.2
Short,EURJPY,1:20:00,1:40:00,86.36%,62.2
Long,EURUSD,2:01:00,2:08:00,90.91%,56.0
Short,USDJPY,4:11:00,4:29:00,86.36%,14.6
Long,EURUSD,8:54:00,9:01:00,85.71%,28.3
Short,AUDJPY,10:01:00,10:31:00,85.71%,76.9
Long,USDJPY,10:55:00,10:59:00,85.71%,23.3
Long,GBPJPY,12:09:00,12:39:00,90.48%,121.9
Short,EURAUD,15:12:00,15:23:00,85.71%,83.2
Long,EURUSD,16:06:00,16:19:00,90.48%,71.6
Long,USDJPY,16:27:00,16:40:00,85.71%,68.1
Short,GBPJPY,16:59:00,17:15:00,85.71%,107.2
Long,GBPJPY,17:53:00,18:01:00,85.71%,61.4
Short,GBPJPY,18:58:00,19:04:00,90.48%,69.0
Long,USDJPY,20:07:00,20:26:00,90.48%,88.5
Short,EURUSD,20:47:00,21:04:00,90.48%,78.6
Long,USDJPY,21:24:00,21:29:00,85.71%,52.5
Long,EURJPY,21:36:00,21:46:00,85.71%,79.2
Long,CHFJPY,22:17:00,22:29:00,85.71%,96.6
Long,CADJPY,23:07:00,23:23:00,85.71%,58.5
